Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XE263OL_Macrogen_1_val_1	66.27316980291236	46.0	143.88553445899444	151	18.181818181818183	21113341.0
XE263OL_Macrogen_2_val_2	64.00231963422003	46.0	143.74421693847506	151	27.27272727272727	21113341.0
XE263_OL_1_val_1	61.50521599194584	45.0	148.71875445020785	150	18.181818181818183	18587615.0
XE263_OL_2_val_2	60.370338372096406	45.0	148.71247591474216	150	18.181818181818183	18587615.0
XE263_R_1_val_1	59.57794015604837	45.0	148.66306663481183	150	18.181818181818183	17274199.0
XE263_R_2_val_2	58.91524641694131	45.0	148.64459724008043	150	18.181818181818183	17274199.0
XE263_S_1_val_1	60.91946298327207	44.0	147.99047358920217	150	18.181818181818183	18093698.0
XE263_S_2_val_2	60.17280952092181	44.0	147.9931806643396	150	18.181818181818183	18093698.0
XE263_YL_1_val_1	63.83413872717641	45.0	148.69126674277982	150	18.181818181818183	17557195.0
XE263_YL_2_val_2	62.875465459565305	45.0	148.6675933143079	150	18.181818181818183	17557195.0
XE774_F_MKRN250017682-1A_22VTVNLT4_L4_1_val_1	72.84261524149875	46.0	148.3554056406005	150	18.181818181818183	42230610.0
XE774_F_MKRN250017682-1A_22VTVNLT4_L4_2_val_2	71.91268364061774	46.0	148.33878478193898	150	18.181818181818183	42230610.0
